"f1","f2","f3","A1","A2","A3","Q_low","Q_high","Q_mean","koide_error","ratio_234_error"
120,180,240,191.004163889697,39.1320583288012,114.98756651269,0.666666666666667,0.666666666666667,0.666666666666667,0,0
240,360,480,114.98756651269,47.9706294563131,17.8406614295647,0.666666666666667,0.666666666666667,0.666666666666667,0,0
300,480,600,14.0511727067451,17.8406614295647,13.9447316840481,0.625,0.625,0.625,0.0589255650988789,0.0650854139658888
180,240,300,39.1320583288012,114.98756651269,14.0511727067451,0.75,0.625,0.6875,0.0931694990624913,0.0971825315807551
360,480,600,47.9706294563131,17.8406614295647,13.9447316840481,0.75,0.625,0.6875,0.0931694990624913,0.0971825315807551
180,300,360,39.1320583288012,14.0511727067451,47.9706294563131,0.6,0.6,0.6,0.0942809041582063,0.106718737290547
180,240,360,39.1320583288012,114.98756651269,47.9706294563131,0.75,0.75,0.75,0.117851130197758,0.117851130197758
180,300,480,39.1320583288012,14.0511727067451,17.8406614295647,0.6,0.8,0.7,0.149071198499986,0.141666666666667
240,300,360,114.98756651269,14.0511727067451,47.9706294563131,0.8,0.6,0.7,0.149071198499986,0.15723301886761
180,360,480,39.1320583288012,47.9706294563131,17.8406614295647,0.5,0.666666666666667,0.583333333333333,0.166666666666667,0.166666666666667
120,180,300,191.004163889697,39.1320583288012,14.0511727067451,0.666666666666667,0.833333333333333,0.75,0.166666666666667,0.15
240,360,600,114.98756651269,47.9706294563131,13.9447316840481,0.666666666666667,0.833333333333333,0.75,0.166666666666667,0.15
300,360,480,14.0511727067451,47.9706294563131,17.8406614295647,0.833333333333333,0.666666666666667,0.75,0.166666666666667,0.166666666666667
120,240,300,191.004163889697,114.98756651269,14.0511727067451,0.5,0.625,0.5625,0.171796067734069,0.174005108481842
240,480,600,114.98756651269,17.8406614295647,13.9447316840481,0.5,0.625,0.5625,0.171796067734069,0.174005108481842
60,120,180,60.4267255854921,191.004163889697,39.1320583288012,0.5,0.75,0.625,0.186338998124982,0.186338998124982
120,240,360,191.004163889697,114.98756651269,47.9706294563131,0.5,0.75,0.625,0.186338998124982,0.186338998124982
240,300,480,114.98756651269,14.0511727067451,17.8406614295647,0.8,0.8,0.8,0.188561808316413,0.182764268328844
180,360,600,39.1320583288012,47.9706294563131,13.9447316840481,0.5,0.833333333333333,0.666666666666667,0.235702260395516,0.224227067451228
300,360,600,14.0511727067451,47.9706294563131,13.9447316840481,0.833333333333333,0.833333333333333,0.833333333333333,0.235702260395516,0.224227067451229
120,300,360,191.004163889697,14.0511727067451,47.9706294563131,0.4,0.6,0.5,0.274873708374511,0.27938424357067
180,480,600,39.1320583288012,17.8406614295647,13.9447316840481,0.375,0.625,0.5,0.294627825494395,0.295921348409412
120,300,480,191.004163889697,14.0511727067451,17.8406614295647,0.4,0.8,0.6,0.298142396999972,0.294509950784538
60,180,240,60.4267255854921,39.1320583288012,114.98756651269,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333
120,360,480,191.004163889697,47.9706294563131,17.8406614295647,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333
