"type","amplitude","trials","p_ladder_detected","p_f0_recovered","p_logcos_significant","mean_delta_chi2","mode"
"white",0,8,1,1,0.25,19.5642402391188,"DEVELOPMENT_ONLY"
"white",0.25,8,1,1,0,16.0259338266563,"DEVELOPMENT_ONLY"
"white",0.5,8,1,1,0.125,16.4565633873801,"DEVELOPMENT_ONLY"
"white",1,8,1,1,0.125,15.1917005873963,"DEVELOPMENT_ONLY"
"white",2,8,1,1,0.125,16.8280331561828,"DEVELOPMENT_ONLY"
"white",4,8,1,1,0,16.9126384807384,"DEVELOPMENT_ONLY"
"mains_ladder",0,8,1,1,0.125,15.8978917747417,"DEVELOPMENT_ONLY"
"mains_ladder",0.25,8,1,1,0.375,21.9872605883075,"DEVELOPMENT_ONLY"
"mains_ladder",0.5,8,1,1,0.625,22.0377239264051,"DEVELOPMENT_ONLY"
"mains_ladder",1,8,1,1,0.75,22.6797523345771,"DEVELOPMENT_ONLY"
"mains_ladder",2,8,1,1,0.25,20.228277883283,"DEVELOPMENT_ONLY"
"mains_ladder",4,8,1,1,0.875,24.040414859042,"DEVELOPMENT_ONLY"
"ladder_234",0,8,1,1,0.125,14.6623857825068,"DEVELOPMENT_ONLY"
"ladder_234",0.25,8,1,1,0.25,20.1033168678694,"DEVELOPMENT_ONLY"
"ladder_234",0.5,8,1,1,0.375,19.6684038003656,"DEVELOPMENT_ONLY"
"ladder_234",1,8,1,1,0.25,19.8650221084949,"DEVELOPMENT_ONLY"
"ladder_234",2,8,1,1,0.375,20.1629271619149,"DEVELOPMENT_ONLY"
"ladder_234",4,8,1,1,0.125,17.6554320497606,"DEVELOPMENT_ONLY"
"logcos_env",0,8,1,1,0.125,17.7523902603286,"DEVELOPMENT_ONLY"
"logcos_env",0.25,8,1,1,0.5,21.1990944522964,"DEVELOPMENT_ONLY"
"logcos_env",0.5,8,1,1,0.625,22.6717777310444,"DEVELOPMENT_ONLY"
"logcos_env",1,8,1,1,0.25,20.8219856742047,"DEVELOPMENT_ONLY"
"logcos_env",2,8,1,1,0.75,21.8467275256024,"DEVELOPMENT_ONLY"
"logcos_env",4,8,1,1,0.5,20.6822370345133,"DEVELOPMENT_ONLY"
