"fwin","krange","detrend","estimator","best_k","delta_chi2","A","at_k_boundary","in_peak_region","specification_adjusted_note"
"40-1000","0.5-80","cubic","hann",44.5338345864662,21.2084136958493,0.295543334711596,FALSE,TRUE,"max over grid is the family statistic"
"40-1000","0.5-120","cubic","hann",44.5263157894737,21.2044188104619,0.295524055972411,FALSE,TRUE,"max over grid is the family statistic"
"20-1000","0.5-80","cubic","hann",44.5338345864662,21.1827480422511,0.292988935487274,FALSE,TRUE,"max over grid is the family statistic"
"20-1000","0.5-120","cubic","hann",44.5263157894737,21.1817088971887,0.293006841732732,FALSE,TRUE,"max over grid is the family statistic"
"20-1000","0.5-80","quadratic","hann",44.5338345864662,21.1390694819372,0.292686035973613,FALSE,TRUE,"max over grid is the family statistic"
"20-1000","0.5-120","quadratic","hann",44.5263157894737,21.1381183949884,0.292704678186388,FALSE,TRUE,"max over grid is the family statistic"
"40-1000","0.5-80","quadratic","hann",44.5338345864662,21.1238651613283,0.294955001691177,FALSE,TRUE,"max over grid is the family statistic"
"40-1000","0.5-120","quadratic","hann",44.5263157894737,21.120373725138,0.294939341424798,FALSE,TRUE,"max over grid is the family statistic"
"40-1000","0.5-120","linear","hann",44.5263157894737,20.7173855341466,0.292118512064969,FALSE,TRUE,"max over grid is the family statistic"
"40-1000","0.5-80","linear","hann",44.5338345864662,20.7152888857574,0.29209433286609,FALSE,TRUE,"max over grid is the family statistic"
"10-500","0.5-80","linear","hann",45.1315789473684,20.6092808480427,0.406922333176978,FALSE,TRUE,"max over grid is the family statistic"
"10-500","0.5-120","linear","hann",45.125313283208,20.6054017714133,0.406946693542691,FALSE,TRUE,"max over grid is the family statistic"
"20-1000","0.5-120","linear","hann",44.5263157894737,20.5282998216289,0.2884484289516,FALSE,TRUE,"max over grid is the family statistic"
"10-500","0.5-80","quadratic","hann",45.1315789473684,20.5272645536368,0.406038144281861,FALSE,TRUE,"max over grid is the family statistic"
"10-500","0.5-120","quadratic","hann",45.125313283208,20.5205857712017,0.406034656764899,FALSE,TRUE,"max over grid is the family statistic"
"20-1000","0.5-80","linear","hann",44.5338345864662,20.5196684372688,0.288361940087116,FALSE,TRUE,"max over grid is the family statistic"
"10-500","0.5-80","cubic","hann",45.3308270676692,20.4427054186181,0.404990110838622,FALSE,TRUE,"max over grid is the family statistic"
"10-500","0.5-120","cubic","hann",45.125313283208,20.3961520748065,0.404799654081438,FALSE,TRUE,"max over grid is the family statistic"
"20-500","0.5-120","quadratic","hann",45.125313283208,20.346504161785,0.410011321858198,FALSE,TRUE,"max over grid is the family statistic"
"20-500","0.5-80","quadratic","hann",45.1315789473684,20.3447355618634,0.409973885957752,FALSE,TRUE,"max over grid is the family statistic"
"20-500","0.5-120","cubic","hann",45.125313283208,20.3399306786207,0.409945495677828,FALSE,TRUE,"max over grid is the family statistic"
"20-500","0.5-80","cubic","hann",45.1315789473684,20.3382527731658,0.409908985351649,FALSE,TRUE,"max over grid is the family statistic"
"20-500","0.5-120","linear","hann",45.125313283208,20.0139126498617,0.406670004129128,FALSE,TRUE,"max over grid is the family statistic"
"20-500","0.5-80","linear","hann",45.1315789473684,20.0119276960292,0.406629749333502,FALSE,TRUE,"max over grid is the family statistic"
"10-500","0.5-40","linear","hann",17.1315789473684,17.5184296468775,0.38460006155896,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-40","linear","hann",17.2305764411028,17.4244251752654,0.385654724097115,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-40","cubic","hann",17.2305764411028,17.3426816077343,0.381259295897639,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-40","cubic","hann",17.2305764411028,17.2906922986461,0.384106948409576,FALSE,FALSE,"max over grid is the family statistic"
"20-500","0.5-40","quadratic","hann",17.2305764411028,17.2808577589796,0.383991828395091,FALSE,FALSE,"max over grid is the family statistic"
"10-500","0.5-40","quadratic","hann",17.2305764411028,17.2743877915492,0.38048904846905,FALSE,FALSE,"max over grid is the family statistic"
"20-1000","0.5-40","linear","hann",17.2305764411028,12.6594500895633,0.230183382955212,FALSE,FALSE,"max over grid is the family statistic"
"40-1000","0.5-40","linear","hann",17.1315789473684,12.3230145074027,0.228960357166283,FALSE,FALSE,"max over grid is the family statistic"
"20-1000","0.5-40","quadratic","hann",17.4285714285714,11.8089162914268,0.222803386607799,FALSE,FALSE,"max over grid is the family statistic"
"20-1000","0.5-40","cubic","hann",17.4285714285714,11.7532441684389,0.222273262721705,FALSE,FALSE,"max over grid is the family statistic"
